"","model_label","Model_Code","refLabel","refPercent","BpS_Name","OID_","Value","Count","Feature_hoos2","bps_aoi","scls_aoi","MAP_UNIT_SYMBOL","BPS_NAME","total_count","currentPercent"
"43","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",184,184,474,4,2067,180,"223Ba04","Southern Interior Low Plateau Dry-Mesic Oak Forest",22789,2
"44","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",242,242,17651,5,2067,180,"223De01","Southern Interior Low Plateau Dry-Mesic Oak Forest",129463,13
"45","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",279,279,1411,7,2067,180,"223De03","Southern Interior Low Plateau Dry-Mesic Oak Forest",15416,9
"46","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",330,330,1711,6,2067,180,"223De02","Southern Interior Low Plateau Dry-Mesic Oak Forest",19333,8
"47","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",412,412,8621,8,2067,180,"223De04","Southern Interior Low Plateau Dry-Mesic Oak Forest",65587,13
"48","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",432,432,21509,9,2067,180,"223De05","Southern Interior Low Plateau Dry-Mesic Oak Forest",143797,14
"49","13050_47_48_Agriculture","13050_47_48","Agriculture",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",486,486,8147,10,2067,180,"223De06","Southern Interior Low Plateau Dry-Mesic Oak Forest",120326,6
"50","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",7,7,1969,1,2067,120,"223Ba01","Southern Interior Low Plateau Dry-Mesic Oak Forest",64134,3
"51","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",60,60,625,3,2067,120,"223Ba03","Southern Interior Low Plateau Dry-Mesic Oak Forest",9801,6
"52","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",132,132,850,4,2067,120,"223Ba04","Southern Interior Low Plateau Dry-Mesic Oak Forest",22789,3
"53","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",159,159,1199,2,2067,120,"223Ba02","Southern Interior Low Plateau Dry-Mesic Oak Forest",33882,3
"54","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",244,244,7526,5,2067,120,"223De01","Southern Interior Low Plateau Dry-Mesic Oak Forest",129463,5
"55","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",284,284,869,7,2067,120,"223De03","Southern Interior Low Plateau Dry-Mesic Oak Forest",15416,5
