OID_,Value,Count,Feature_hoos2,bps_aoi,evt_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
46,46,358,1,2085,9817,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Northern & Central Ruderal Meadow,Exotic Herbaceous
47,47,162,1,2067,9223,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,South-Central Interior Large Floodplain Forest,Riparian
48,48,5097,1,2085,9223,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,South-Central Interior Large Floodplain Forest,Riparian
49,49,136,1,2088,9315,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Northern & Central Native Ruderal Forest,Conifer-Hardwood
50,50,1741,1,2072,7299,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Developed-Roads,Developed-Roads
51,51,8,1,2088,7908,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Eastern Cool Temperate Urban Herbaceous,Developed
52,52,364,1,2084,7974,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Eastern Cool Temperate Row Crop,Agricultural
53,53,300,1,2084,7299,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Developed-Roads,Developed-Roads
54,54,6,1,2079,7977,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,Eastern Cool Temperate Pasture and Hayland,Agricultural
55,55,21,1,2079,9817,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,Northern & Central Ruderal Meadow,Exotic Herbaceous
56,56,4,1,2088,7927,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Eastern Cool Temperate Developed Mixed Forest,Developed
57,57,132,1,2088,9817,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Northern & Central Ruderal Meadow,Exotic Herbaceous
58,58,19,1,2079,9223,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,South-Central Interior Large Floodplain Forest,Riparian
59,59,439,1,2084,9315,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Northern & Central Native Ruderal Forest,Conifer-Hardwood
60,60,6,1,2079,9725,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,South-Central Interior Large Floodplain Herbaceous,Riparian
61,61,1,1,2072,9314,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
62,62,2297,1,2084,9223,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,South-Central Interior Large Floodplain Forest,Riparian
63,63,57,1,2088,7905,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Eastern Cool Temperate Urban Deciduous Forest,Developed
64,64,107,1,2084,9314,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
65,65,102,1,2072,7909,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Urban Shrubland,Developed
66,66,16,1,2079,7321,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,South-Central Interior Mesophytic Forest,Hardwood
67,67,88,1,2072,7925,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Developed Deciduous Forest,Developed
68,68,157,1,2071,7305,223Ba01,13130_47_50_51,North-Central Interior Beech-Maple Forest,1004,0,836,456,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
69,69,365,1,2085,9725,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,South-Central Interior Large Floodplain Herbaceous,Riparian
70,70,202,1,2085,7905,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Urban Deciduous Forest,Developed
71,71,405,1,2072,9817,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Northern & Central Ruderal Meadow,Exotic Herbaceous
72,72,111,1,2084,7976,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
73,73,104,1,2072,7296,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Developed-Low Intensity,Developed-Low Intensity
74,74,15,1,2085,7908,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Urban Herbaceous,Developed
75,75,8,1,2085,7907,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Urban Mixed Forest,Developed
76,76,113,1,2084,7905,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Eastern Cool Temperate Urban Deciduous Forest,Developed
77,77,247,1,2084,7977,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Eastern Cool Temperate Pasture and Hayland,Agricultural
78,78,19,1,2067,7929,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Eastern Cool Temperate Developed Herbaceous,Developed
79,79,491,1,2085,7977,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Pasture and Hayland,Agricultural
80,80,9,1,2085,7925,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Developed Deciduous Forest,Developed
81,81,1,1,2085,7906,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Urban Evergreen Forest,Developed
82,82,8,1,2067,7297,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Developed-Medium Intensity,Developed-Medium Intensity
83,83,28,1,2072,7927,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Developed Mixed Forest,Developed
84,84,2,1,2067,7975,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Eastern Cool Temperate Close Grown Crop,Agricultural
85,85,93,1,2072,7908,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Urban Herbaceous,Developed
86,86,9,1,2085,7296,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Developed-Low Intensity,Developed-Low Intensity
