OID_,Value,Count,Feature_hoos2,bps_aoi,scls_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,LABEL
101,101,676.000000000000000,3,2071,3,223Ba03,13130_47_50_51,North-Central Interior Beech-Maple Forest,C
102,102,1.000000000000000,1,2079,5,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,E
103,103,14.000000000000000,3,2084,4,223Ba03,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,D
104,104,5373.000000000000000,4,11,111,223Ba04,,Open Water,Water
105,105,5.000000000000000,3,2067,1,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,A
106,106,82.000000000000000,4,2088,120,223Ba04,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Developed
107,107,439.000000000000000,4,2084,120,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Developed
108,108,205.000000000000000,4,2084,7,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,UE
109,109,15.000000000000000,3,2071,4,223Ba03,13130_47_50_51,North-Central Interior Beech-Maple Forest,D
110,110,275.000000000000000,3,2071,180,223Ba03,13130_47_50_51,North-Central Interior Beech-Maple Forest,Agriculture
111,111,288.000000000000000,4,2085,120,223Ba04,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Developed
112,112,135.000000000000000,4,2088,6,223Ba04,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,UN
113,113,117.000000000000000,4,2088,7,223Ba04,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,UE
114,114,20204.000000000000000,4,2067,3,223Ba04,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,C
115,115,46169.000000000000000,4,2072,2,223Ba04,13210_47_48_53_57,South-Central Interior Mesophytic Forest,B
116,116,72.000000000000000,4,2067,1,223Ba04,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,A
117,117,42.000000000000000,4,2085,1,223Ba04,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,A
118,118,266.000000000000000,4,2085,7,223Ba04,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,UE
119,119,1565.000000000000000,4,2072,3,223Ba04,13210_47_48_53_57,South-Central Interior Mesophytic Forest,C
120,120,83.000000000000000,4,2084,6,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,UN
121,121,101.000000000000000,4,2072,6,223Ba04,13210_47_48_53_57,South-Central Interior Mesophytic Forest,UN
122,122,6.000000000000000,4,2079,180,223Ba04,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Agriculture
123,123,78.000000000000000,3,2071,120,223Ba03,13130_47_50_51,North-Central Interior Beech-Maple Forest,Developed
124,124,44.000000000000000,4,2079,6,223Ba04,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,UN
125,125,711.000000000000000,4,2067,7,223Ba04,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,UE
126,126,3043.000000000000000,4,2072,120,223Ba04,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Developed
127,127,5.000000000000000,4,2079,120,223Ba04,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Developed
128,128,1.000000000000000,1,2070,7,223Ba01,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,UE
129,129,1108.000000000000000,4,2088,3,223Ba04,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,C
130,130,324.000000000000000,4,2085,3,223Ba04,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,C
131,131,3954.000000000000000,4,2085,2,223Ba04,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,B
