"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"101","14720_44_46_47_48_A","14720_44_46_47_48","A",17,"Central Interior and Appalachian Riparian Systems",2085,1,2071,14720,47,184162,1
"102","14720_44_46_47_48_B","14720_44_46_47_48","B",23,"Central Interior and Appalachian Riparian Systems",2085,2,88874,14720,47,184162,48
"103","14720_44_46_47_48_C","14720_44_46_47_48","C",13,"Central Interior and Appalachian Riparian Systems",2085,3,22523,14720,47,184162,12
"104","14720_44_46_47_48_D","14720_44_46_47_48","D",38,"Central Interior and Appalachian Riparian Systems",2085,4,29,14720,47,184162,0
"105","14720_44_46_47_48_E","14720_44_46_47_48","E",9,"Central Interior and Appalachian Riparian Systems",2085,5,1149,14720,47,184162,0
"106","14720_44_46_47_48_Agriculture","14720_44_46_47_48","Agriculture",0,"Central Interior and Appalachian Riparian Systems",2085,180,43557,14720,47,184162,23
"107","14720_44_46_47_48_Developed","14720_44_46_47_48","Developed",0,"Central Interior and Appalachian Riparian Systems",2085,120,12633,14720,47,184162,6
"108","14720_44_46_47_48_Water","14720_44_46_47_48","Water",0,"Central Interior and Appalachian Riparian Systems",NA,NA,NA,NA,NA,NA,NA
"109","14720_44_46_47_48_UN","14720_44_46_47_48","UN",0,"Central Interior and Appalachian Riparian Systems",NA,NA,NA,NA,NA,NA,NA
"110","14720_44_46_47_48_UE","14720_44_46_47_48","UE",0,"Central Interior and Appalachian Riparian Systems",2085,7,13326,14720,47,184162,7
"111","14790_41_42_47_48_50_51_53_A","14790_41_42_47_48_50_51_53","A",24,"Central Interior and Appalachian Swamp Systems",2088,1,1,14790,47,50019,0
"112","14790_41_42_47_48_50_51_53_B","14790_41_42_47_48_50_51_53","B",36,"Central Interior and Appalachian Swamp Systems",2088,2,106,14790,47,50019,0
"113","14790_41_42_47_48_50_51_53_C","14790_41_42_47_48_50_51_53","C",40,"Central Interior and Appalachian Swamp Systems",2088,3,29426,14790,47,50019,58
"114","14790_41_42_47_48_50_51_53_D","14790_41_42_47_48_50_51_53","D",NA,"Central Interior and Appalachian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"115","14790_41_42_47_48_50_51_53_E","14790_41_42_47_48_50_51_53","E",NA,"Central Interior and Appalachian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"116","14790_41_42_47_48_50_51_53_Agriculture","14790_41_42_47_48_50_51_53","Agriculture",0,"Central Interior and Appalachian Swamp Systems",2088,180,11626,14790,47,50019,23
"117","14790_41_42_47_48_50_51_53_Developed","14790_41_42_47_48_50_51_53","Developed",0,"Central Interior and Appalachian Swamp Systems",2088,120,3352,14790,47,50019,6
"118","14790_41_42_47_48_50_51_53_Water","14790_41_42_47_48_50_51_53","Water",0,"Central Interior and Appalachian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"119","14790_41_42_47_48_50_51_53_UN","14790_41_42_47_48_50_51_53","UN",0,"Central Interior and Appalachian Swamp Systems",2088,6,1143,14790,47,50019,2
"120","14790_41_42_47_48_50_51_53_UE","14790_41_42_47_48_50_51_53","UE",0,"Central Interior and Appalachian Swamp Systems",2088,7,4365,14790,47,50019,8
"121","15180_43_47_49_52_62_63_64_65_A","15180_43_47_49_52_62_63_64_65","A",11,"North-Central Interior Wet Flatwoods",NA,NA,NA,NA,NA,NA,NA
"122","15180_43_47_49_52_62_63_64_65_B","15180_43_47_49_52_62_63_64_65","B",16,"North-Central Interior Wet Flatwoods",2091,2,514,15180,47,3497,14
"123","15180_43_47_49_52_62_63_64_65_C","15180_43_47_49_52_62_63_64_65","C",73,"North-Central Interior Wet Flatwoods",2091,3,5,15180,47,3497,0
"124","15180_43_47_49_52_62_63_64_65_D","15180_43_47_49_52_62_63_64_65","D",NA,"North-Central Interior Wet Flatwoods",NA,NA,NA,NA,NA,NA,NA
"125","15180_43_47_49_52_62_63_64_65_E","15180_43_47_49_52_62_63_64_65","E",NA,"North-Central Interior Wet Flatwoods",NA,NA,NA,NA,NA,NA,NA
"126","15180_43_47_49_52_62_63_64_65_Agriculture","15180_43_47_49_52_62_63_64_65","Agriculture",0,"North-Central Interior Wet Flatwoods",2091,180,2302,15180,47,3497,65
"127","15180_43_47_49_52_62_63_64_65_Developed","15180_43_47_49_52_62_63_64_65","Developed",0,"North-Central Interior Wet Flatwoods",2091,120,434,15180,47,3497,12
"128","15180_43_47_49_52_62_63_64_65_Water","15180_43_47_49_52_62_63_64_65","Water",0,"North-Central Interior Wet Flatwoods",NA,NA,NA,NA,NA,NA,NA
"129","15180_43_47_49_52_62_63_64_65_UN","15180_43_47_49_52_62_63_64_65","UN",0,"North-Central Interior Wet Flatwoods",2091,6,15,15180,47,3497,0
"130","15180_43_47_49_52_62_63_64_65_UE","15180_43_47_49_52_62_63_64_65","UE",0,"North-Central Interior Wet Flatwoods",2091,7,227,15180,47,3497,6
